name,address,latitude,longitude,brand
Jollibee PUREGOLD MAYPAJO,"PUREGOLD MAYPAJO LEVEL 1, J.P Rizal St, Maypajo, Caloocan, Metro Manila, Philippines",14.6376731,120.97449299999998,Jollibee
Jollibee,"Espana Blvd, Corner Padre Noval St, Sampaloc, Manila, 1008 Metro Manila, Philippines",14.606759400000001,120.98925489999999,Jollibee
Jollibee Centris Mall,"GF-22 and SF-8 Eton Centris Edsa, corner Quezon Ave, Diliman, Quezon City, Metro Manila, Philippines",14.6430077,121.0389458,Jollibee
Jollibee Taft Ave- Vito Cruz,"855 Taft Avenue, cor P.Ocampo St., Malate, Manila, 1004 Metro Manila, Philippines",14.562815799999997,120.9953516,Jollibee
Jollibee Trium Square,"2043 Leveriza, Pasay City, 1300 Kalakhang Maynila, Philippines",14.553965999999999,120.99492579999999,Jollibee
Jollibee Tower,"Jollibee Tower, 12 F. Ortigas Jr. Rd, San Antonio, Ortigas Center, Pasig, 1605 Metro Manila, Philippines",14.587891800000001,121.0619501,Jollibee
Jollibee,"32 Gen. Luna St, Tuktukan, Taguig, 1637 Metro Manila, Philippines",14.528961400000002,121.07057150000001,Jollibee
Jollibee Don Antonio,"19-c Holy Spirit Drive Corner Don Faustino Drive, Quezon City, 1127 Metro Manila, Philippines",14.683529,121.077709,Jollibee
Jollibee Plaza,"Jollibee Plaza, 12 F. Ortigas Jr. Rd, San Antonio, Ortigas Center, Pasig, 1605 Metro Manila, Philippines",14.587892499999999,121.0619055,Jollibee
Jollibee,"GF Convergys Bldg., Salcedo St., cor, Ayala Ave, Makati City, Metro Manila, Philippines",14.559426299999998,121.01611399999999,Jollibee
Jollibee,"Taft Ave Ext, Pasay City, Metro Manila, Philippines",14.5364486,121.0001812,Jollibee
Jollibee San Joaquin,"M. Concepcion Avenue, corner R. Jabson Street, Pasig, Metro Manila, Philippines",14.551600299999999,121.07411060000001,Jollibee
Jollibee Comembo,"Unit 1C Level 1 Comembo Commer Comembo, Comavena Market, Sampaguita St, Taguig, 1217 Metro Manila, Philippines",14.548421099999999,121.0632205,Jollibee
Jollibee - Greenhills Shopping Center,"G/F Vmall Greenhills Shopping Center, San Juan City, Metro Manila, Philippines",14.6024339,121.050135,Jollibee
Jollibee,"LEVEL 1 SM LIGHT MALL EDSA, CORNER Madison, Barangka Ilaya, Mandaluyong City, Metro Manila, Philippines",14.5738042,121.04895479999999,Jollibee
Jollibee The Landmark Makati,"Upper Basement, Landmark, Makati Ave, Makati City, Metro Manila, Philippines",14.5517977,121.0238126,Jollibee
Jollibee - Vasra Visayas Ave,"48 Visayas Ave, Brgy, corner Forestry, Vasra, Diliman, Quezon City, Metro Manila, Philippines",14.661240500000002,121.04460139999999,Jollibee
Jollibee Buendia- Taft Pasay,"Buendia Avenue, Cor Taft Ave, Pasay City, Metro Manila, Philippines",14.5539031,120.9976298,Jollibee
Jollibee - Festival Mall (Ground Floor R1),"Festival Supermall Commerce Ave, Alabang, Muntinlupa, 1781 Metro Manila, Philippines",14.4177932,121.04143339999999,Jollibee
Jollibee DD Meridian Plaza,"Double dragon Plaza Meridian Park cor. Macapagal Ave, EDSA Ext, Pasay, Pasay City, Metro Manila, Philippines",14.5361896,120.99037170000001,Jollibee
Jollibee WATERFUN,"249 Maria Rodriguez Tiñga Ave, Taguig, 1630 Metro Manila, Philippines",14.514913100000001,121.05205509999999,Jollibee
Jollibee,"Meralco Ave, Ortigas Center, Pasig, Metro Manila, Philippines",14.5877141,121.06355280000001,Jollibee
Jollibee,"301 Katipunan Ave, Loyola Heights, Quezon City, Metro Manila, Philippines",14.637350399999999,121.0741099,Jollibee
Jollibee,"Level 1, Five Ecom Bldg, Harbor Dr, Pasay City, Metro Manila, Philippines",14.538825799999998,120.9822124,Jollibee
Jollibee Signal Village,"140 Zone, 6 Ballecer, Central Signal Village (Signal Village), Taguig, 1633 Metro Manila, Philippines",14.504737999999998,121.0530166,Jollibee
Jollibee Foods Corporation,"10/F, Jollibee Plaza, 10 F. Ortigas Jr. Rd, San Antonio, Ortigas Center, Pasig, 1604 Metro Manila, Philippines",14.5877565,121.06137249999999,Jollibee
Jollibee | SM Mall of Asia,"G/f. Main Mall, SM Mall of Asia, Central Business Park, J.W. Diokno Blvd, Pasay City, 1300 Metro Manila, Philippines",14.5348619,120.9828763,Jollibee
Jollibee Plaza,"H3Q6+4G8, F. Ortigas Jr. Rd, Ortigas Center, Pasig, Metro Manila, Philippines",14.587777400000002,121.061324,Jollibee
Jollibee,"Alabang–Zapote Rd, Talon Uno, Las Piñas, 1747 Metro Manila, Philippines",14.4427617,120.99861209999999,Jollibee
Jollibee G. Tuazon - E. Quintos,"301 G. Tuazon, sts., Balic-balic, cor E. Queintos, Sampaloc, Manila, 1015 Metro Manila, Philippines",14.6069761,121.0029332,Jollibee
"Jollibee - Bayani Road, Taguig City","30, Blk 60 Bayani Rd, Fort Bonifacio, Taguig, 1630 Metro Manila, Philippines",14.526281699999998,121.04267430000002,Jollibee
Manong Pepe's Jollibee Plaza Branch,"4th Floor, Don Francisco, Jollibee Plaza, F. Ortigas Jr. Rd, Ortigas Center, Pasig, Metro Manila, Philippines",14.5878498,121.06155100000001,Jollibee
Jollibee,"G/F Bldg. B SM Megamall Complex EDSA, Ortigas Center, Mandaluyong City, Metro Manila, Philippines",14.583710700000001,121.05674589999998,Jollibee
